Textbox8,Textbox22,CLIENT1,LOT1,PARTNER,PO_NBR,ORDER_NBR,Textbox7,ITEM_DESC_SHORT,SERIAL_NBR,ASSET_TAG,DISPLAY_Unsuitability_Reason,QUANTITY,QTY_COMMITTED,RECEIPT_DT
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3F06N4P,Strap for Smart Dog Collar,,Strap/Graphite/S,,56,0,06/30/2025
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3F06N4P,Strap for Smart Dog Collar,,Strap/Graphite/S,,35,0,06/30/2025
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3F06N4P-USED,Like New/Strap/Graphite/S,,,,373,0,06/26/2024
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3F06N4P-USED,Like New/Strap/Graphite/S,,,,54,0,05/14/2024
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3F06N4P-USED,Like New/Strap/Graphite/S,,,,25,0,12/30/2025
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3G06N7P-USED,Like New/Strap/Graphite/M,,,,379,0,06/26/2024
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,2Q0Q3G06N7P-USED,Like New/Strap/Graphite/M,,,,16,0,06/10/2024
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,850035906231,Halo Collar 3/Kit/Sunburst/ML,24h3450443rt,,CLIENT HOLD,1,0,12/08/2025
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,850035906231_REF,Smart Dog Collar,24h3272619rt,,,1,0,12/31/2025
Halo Collar Detailed Inventory Report,Report Date: 2/16/2026 8:28:52 AM,Halo Collar,,,0,0,850035906231_REF,Smart Dog Collar,24h3302030rt,,,1,0,12/31/2025
